id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,49,121349,Sealed Air,14142,67578,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,31,121349,NetApp,13881,67627,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,Sigma-Aldrich ,14160,67658,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,296,121349,Amphenol ,18162,67690,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,80,121349,BorgWarner,13145,67986,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,56,121349,Cognizant Technology Solutions,19054,68066,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,80,121349,CBRE Group ,97562,68122,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,2358,121349,Computer Sciences ,13287,68202,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,40,121349,Linear Technology ,13745,70706,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,816,121349,Delphi Automotive ,314412,70746,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,461,121349,Linear Technology ,13745,71562,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,163,121349,Qorvo ,317318,72023,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,439,121349,Precision Castparts ,14030,72186,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1248,121349,Cimarex Energy ,19205,72625,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,457,121349,Wynn Resorts,19091,73873,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,424,121349,Diamond Offshore Drilling ,18614,74330,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,328,121349,Equinix ,82480,74754,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,248,121349,Discovery Communications,97572,75082,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1073,121349,Cabot Oil & Gas ,13172,75330,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1560,121349,Garmin,82759,76403,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,20,121349,Constellation Brands,13180,80598,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,12,121349,United Rentals,14701,80618,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,H & R Block ,13544,80630,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Ryder System,14117,80640,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Viacom,107801,80649,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,ACE,18217,83122,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,56,121349,American International Group ,13010,83130,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,2473,121349,Dover,13377,83186,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,55,121349,Northern Trust ,13909,85659,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,48,121349,Sempra Energy,14147,85714,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,56,121349,NextEra Energy ,13483,85762,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,48,121349,International Paper ,13647,85818,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,DTE Energy ,13387,85866,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,362,121349,Transocean ,14309,85882,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,434,121349,McDonald's ,13796,86244,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,260,121349,Transocean ,14309,86678,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,512,121349,Kraft Heinz ,317777,86938,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,General Electric,13506,87450,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,28,121349,NextEra Energy ,13483,87458,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,25,121349,Western Union,112535,87486,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,229,121349,TJX Companies ,14299,87589,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,2549,121349,Walt Disney ,14398,87818,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,39,121349,TJX Companies ,14299,90367,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,28,121349,Plum Creek Timber Co.,18212,90406,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Quest Diagnostics ,14486,90481,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Biogen ,19238,90490,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Harris ,13562,90498,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Bank of New York Mellon,167772,90507,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,Gilead Sciences,13520,91860,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,Southwest Airlines ,14186,92546,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,18,121349,Cabot Oil & Gas ,13172,92578,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,31,121349,Ball ,13084,92596,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,12,121349,Roper Technologies ,14102,92627,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Garmin,82759,92639,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,Berkshire Hathaway,18957,92646,Walt Disney 
